start run timestamp	start run datetime	run	run_type	setup	comment	stop run timestamp	stop run datetime	events
1714463780.482	24_04_30 09:56:20	000408	00 Default	03  Lya passthrough 0 24	passthr 6keV swy on q+ on MW off 	1714463949.482	24_04_30 09:59:09	000010
1714465724.491	24_04_30 10:28:44	000409	00 Default	03  Lya passthrough 0 24	passthr 6keV swy off q+ off MW off 	1714465923.491	24_04_30 10:32:03	000010
1714466804.496	24_04_30 10:46:44	000410	00 Default	03  Lya passthrough 0 24	passthr 6keV swy on q+ on MW off 	1714466840.496	24_04_30 10:47:20	000002
1714467203.497	24_04_30 10:53:23	000411	00 Default	03  Lya passthrough 0 24	passthr 6keV swy on q+ on MW off 	1714469183.507	24_04_30 11:26:23	000110
1714469231.508	24_04_30 11:27:11	000412	00 Default	03  Lya passthrough 0 24	passthr 6keV swy on q+ on MW on (1.1 GHz)	1714471763.519	24_04_30 12:09:23	000142
1715162347.397	24_05_08 11:59:07	000413	00 Default	03  Lya passthrough 0 24	passthr 6keV swy on q+ on MW on off 	1715162348.396	24_05_08 11:59:08	000000
1715162405.396	24_05_08 12:00:05	000414	00 Default	03  Lya passthrough 0 24	passthr 6keV  CSA cal mcp 5	1715162409.397	24_05_08 12:00:09	000000
1715162410.396	24_05_08 12:00:10	000415	00 Default	03  Lya passthrough 0 24	passthr 6keV  CSA cal mcp 5	1715162411.396	24_05_08 12:00:11	000000
1715162553.396	24_05_08 12:02:33	000416	00 Default	03  Lya passthrough 0 24	passthr 6keV  CSA cal mcp 5	1715163773.412	24_05_08 12:22:53	000075
1715880257.145	24_05_16 19:24:17	000417	00 Default	03  Lya passthrough 0 24	passthr 6keV SwY on  Qnch off	1715880440.146	24_05_16 19:27:20	000010
1715880731.147	24_05_16 19:32:11	000418	00 Default	03  Lya passthrough 0 24	passthr 6keV SwY on  Qnch on	1715880911.148	24_05_16 19:35:11	000010
1715881118.150	24_05_16 19:38:38	000419	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 01 of 04 at F=0MHz	1715881458.150	24_05_16 19:44:18	000020
1715881461.150	24_05_16 19:44:21	000420	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 02 of 04 at F=1100MHz	1715881462.151	24_05_16 19:44:22	000000
1715881465.150	24_05_16 19:44:25	000421	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 03 of 04 at F=0MHz	1715881804.153	24_05_16 19:50:04	000020
1715881807.153	24_05_16 19:50:07	000422	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 04 of 04 at F=1100MHz	1715881808.152	24_05_16 19:50:08	000000
1715882281.153	24_05_16 19:58:01	000423	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 04 of 04 at F=1100MHz	1715882284.154	24_05_16 19:58:04	000000
1715882296.154	24_05_16 19:58:16	000424	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 01 of 04 at F=0MHz	1715882322.154	24_05_16 19:58:42	000000
1715882325.154	24_05_16 19:58:45	000425	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 02 of 04 at F=1100MHz	1715882350.154	24_05_16 19:59:10	000000
1715882353.155	24_05_16 19:59:13	000426	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 03 of 04 at F=0MHz	1715882399.155	24_05_16 19:59:59	000000
1715882402.154	24_05_16 20:00:02	000427	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 04 of 04 at F=1100MHz	1715882427.155	24_05_16 20:00:27	000000
1715882863.156	24_05_16 20:07:43	000428	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 01 of 24 at F=0MHz	1715884395.162	24_05_16 20:33:15	000000
1715884398.162	24_05_16 20:33:18	000429	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 02 of 24 at F=1060MHz	1715885965.167	24_05_16 20:59:25	000000
1715885968.167	24_05_16 20:59:28	000430	00 Default	03  Lya passthrough 0 24	passthr 6keV MWscan step 03 of 24 at F=0MHz	1715887506.172	24_05_16 21:25:06	000000
